 0:17:40  0:17:45 4 -2800    1 1917108  True 2223.812501 1794.456846   1.520833 47647 4841 4411.644345 2617.187499
 0:17:45  0:17:50 4 -2800    6 1914308  True 2223.291667 1793.936012   2.041667 47647 4841 4411.644345 2617.708333
 0:17:50  0:17:55 4 -2800   11 1911508  True 2222.770834 1793.415179   2.562500 47647 4841 4411.644345 2618.229166
 0:17:55  0:18:00 4 -2800   16 1908708  True 2222.250001 1792.894346   3.083333 47647 4841 4411.644345 2618.749999
 0:18:00  0:18:05 4 -2800   21 1905908  True 2221.729167 1792.373512   3.604167 47647 4841 4411.644345 2619.270833
 0:18:05  0:18:10 4 -2800   26 1903108  True 2221.208334 1791.852679   4.125000 47647 4841 4411.644345 2619.791666
 0:18:10  0:18:15 4 -2800   31 1900308  True 2220.687501 1791.331846   4.645833 47647 4841 4411.644345 2620.312499
 0:18:15  0:18:20 4 -2800   36 1897508  True 2220.166667 1790.811012   5.166667 47647 4841 4411.644345 2620.833333
 0:18:20  0:18:25 4 -2800   41 1894708  True 2219.645834 1790.290179   5.687500 47647 4841 4411.644345 2621.354166
 0:18:25  0:18:30 4 -2800   46 1891908  True 2219.125001 1789.769346   6.208333 47647 4841 4411.644345 2621.874999
 0:18:30  0:18:35 4 -2800   51 1889108  True 2218.604167 1789.248512   6.729167 47647 4841 4411.644345 2622.395833
 0:18:35  0:18:40 4 -2800   56 1886308  True 2218.083334 1788.727679   7.250000 47647 4841 4411.644345 2622.916666
 0:18:40  0:18:45 4 -2800   61 1883508  True 2217.562501 1788.206846   7.770833 47647 4841 4411.644345 2623.437499
 0:18:45  0:18:50 4 -2800   66 1880708  True 2217.041667 1787.686012   8.291667 47647 4841 4411.644345 2623.958333
 0:18:50  0:18:55 4 -2800   71 1877908  True 2216.520834 1787.165179   8.812500 47647 4841 4411.644345 2624.479166
 0:18:55  0:19:00 4 -2800   76 1875108  True 2216.000001 1786.644346   9.333333 47647 4841 4411.644345 2624.999999
 0:19:00  0:19:05 4 -2800   81 1872308  True 2215.479167 1786.123512   9.854167 47647 4841 4411.644345 2625.520833
 0:19:05  0:19:10 4 -2800   86 1869508  True 2214.958334 1785.602679  10.375000 47647 4841 4411.644345 2626.041666
 0:19:10  0:19:15 4 -2800   91 1866708  True 2214.437501 1785.081846  10.895833 47647 4841 4411.644345 2626.562499
 0:19:15  0:19:20 4 -2800   96 1863908  True 2213.916667 1784.561012  11.416667 47647 4841 4411.644345 2627.083333
 0:19:20  0:19:25 4 -2800  101 1861108  True 2213.395834 1784.040179  11.937500 47647 4841 4411.644345 2627.604166
 0:19:25  0:19:30 4 -2800  106 1858308  True 2212.875001 1783.519346  12.458333 47647 4841 4411.644345 2628.124999
 0:19:30  0:19:35 4 -2800  111 1855508  True 2212.354167 1782.998512  12.979167 47647 4841 4411.644345 2628.645833
 0:19:35  0:19:40 4 -2800  116 1852708  True 2211.833334 1782.477679  13.500000 47647 4841 4411.644345 2629.166666
 0:19:40  0:19:45 4 -2800  121 1849908  True 2211.312501 1781.956846  14.020833 47647 4841 4411.644345 2629.687499
 0:19:45  0:19:50 4 -2800  126 1847108  True 2210.791667 1781.436012  14.541667 47647 4841 4411.644345 2630.208333
 0:19:50  0:19:55 4 -2800  131 1844308  True 2210.270834 1780.915179  15.062500 47647 4841 4411.644345 2630.729166
 0:19:55  0:20:00 4 -2800  136 1841508  True 2209.750001 1780.394346  15.583333 47647 4841 4411.644345 2631.249999
 0:20:00  0:20:05 4 -2800  141 1838708  True 2209.229167 1779.873512  16.104167 47647 4841 4411.644345 2631.770833
 0:20:05  0:20:10 4 -2800  146 1835908  True 2208.708334 1779.352679  16.625000 47647 4841 4411.644345 2632.291666
 0:20:10  0:20:15 4 -2800  151 1833108  True 2208.187501 1778.831846  17.145833 47647 4841 4411.644345 2632.812499
 0:20:15  0:20:20 4 -2800  156 1830308  True 2207.666667 1778.311012  17.666667 47647 4841 4411.644345 2633.333333
 0:20:20  0:20:25 4 -2800  161 1827508  True 2207.145834 1777.790179  18.187500 47647 4841 4411.644345 2633.854166
 0:20:25  0:20:30 4 -2800  166 1824708  True 2206.625001 1777.269346  18.708333 47647 4841 4411.644345 2634.374999
 0:20:30  0:20:35 4 -2800  171 1821908  True 2206.104167 1776.748512  19.229167 47647 4841 4411.644345 2634.895833
 0:20:35  0:20:40 4 -2800  176 1819108  True 2205.583334 1776.227679  19.750000 47647 4841 4411.644345 2635.416666
 0:20:40  0:20:45 4 -2800  181 1816308  True 2205.062501 1775.706846  20.270833 47647 4841 4411.644345 2635.937499
 0:20:45  0:20:50 4 -2800  186 1813508  True 2204.541667 1775.186012  20.791667 47647 4841 4411.644345 2636.458333
 0:20:50  0:20:55 4 -2800  191 1810708  True 2204.020834 1774.665179  21.312500 47647 4841 4411.644345 2636.979166
 0:20:55  0:21:00 4 -2800  196 1807908  True 2203.500001 1774.144346  21.833333 47647 4841 4411.644345 2637.499999
 0:21:00  0:21:05 4 -2800  201 1805108  True 2202.979167 1773.623512  22.354167 47647 4841 4411.644345 2638.020833
 0:21:05  0:21:10 4 -2800  206 1802308  True 2202.458334 1773.102679  22.875000 47647 4841 4411.644345 2638.541666
 0:21:10  0:21:15 4 -2800  211 1799508  True 2201.937501 1772.581846  23.395833 47647 4841 4411.644345 2639.062499
 0:21:15  0:21:20 4 -2800  216 1796708  True 2201.416667 1772.061012  23.916667 47647 4841 4411.644345 2639.583333
 0:21:20  0:21:25 4 -2800  221 1793908  True 2200.895834 1771.540179  24.437500 47647 4841 4411.644345 2640.104166
 0:21:25  0:21:30 4 -2800  226 1791108  True 2200.375001 1771.019346  24.958333 47647 4841 4411.644345 2640.624999
