    i start_time  S  a1      m1 objective_value    violation time_of_incident     mi1 final_objective           feasible_better S_Objective
    1          6  1 N/A 1580046               0 Not_exceeded                6 1580046               0                         0       47089
    2         11  1 N/A 1580296               0 Not_exceeded               11 1580296               0                         0       47089
    3         16  1 N/A 1580546               0 Not_exceeded               16 1580546               0                         0       47089
    4         21  1 N/A 1580796               0 Not_exceeded               21 1580796               0                         0       47089
    5         26  1 N/A 1581046               0 Not_exceeded               26 1581046               0                         0       47089
    6         31  1 N/A 1581296               0 Not_exceeded               31 1581296               0                         0       47089
    7         36  1 N/A 1581546               0 Not_exceeded               36 1581546               0                         0       47089
    8         41  1 N/A 1581796               0 Not_exceeded               41 1581796               0                         0       47089
    9         46  1 N/A 1582046               0 Not_exceeded               46 1582046               0                         0       47089
   10         51  1 N/A 1582296               0 Not_exceeded               51 1582296               0                         0       47089
   11         56  1 N/A 1582546               0 Not_exceeded               56 1582546               0                         0       47089
   12         61  1 N/A 1582796               0 Not_exceeded               61 1582796               0                         0       47089
   13         66  1 N/A 1583046               0 Not_exceeded               66 1583046               0                         0       47089
   14         71  1 N/A 1583296               0 Not_exceeded               71 1583296               0                         0       47089
   15         76  1 N/A 1583546               0 Not_exceeded               76 1583546               0                         0       47089
   16         81  1 N/A 1583796               0 Not_exceeded               81 1583796               0                         0       47089
   17         86  1 N/A 1584046               0 Not_exceeded               86 1584046               0                         0       47089
   18         91  1 N/A 1584296               0 Not_exceeded               91 1584296               0                         0       47089
   19         96  1 N/A 1584546               0 Not_exceeded               96 1584546               0                         0       47089
   20        101  1 N/A 1584796               0 Not_exceeded              101 1584796               0                         0       47089
   21        106  1 N/A 1585046               0 Not_exceeded              106 1585046               0                         0       47089
   22        111  1 N/A 1585296               0 Not_exceeded              111 1585296               0                         0       47089
   23        116  1 N/A 1585546               0 Not_exceeded              116 1585546               0                         0       47089
   24        121  1 N/A 1585796               0 Not_exceeded              121 1585796               0                         0       47089
   25        126  1 N/A 1586046               0 Not_exceeded              126 1586046               0                         0       47089
   26        131  1 N/A 1586296               0 Not_exceeded              131 1586296               0                         0       47089
   27        136  1 N/A 1586546               0 Not_exceeded              136 1586546               0                         0       47089
   28        141  1 N/A 1586796               0 Not_exceeded              141 1586796               0                         0       47089
   29        146  1 N/A 1587046               0 Not_exceeded              146 1587046               0                         0       47089
   30        151  1 N/A 1587296               0 Not_exceeded              151 1587296               0                         0       47089
   31        156  1 N/A 1587546               0 Not_exceeded              156 1587546               0                         0       47089
   32        161  1 N/A 1587796               0 Not_exceeded              161 1587796               0                         0       47089
   33        166  1 N/A 1588046               0 Not_exceeded              166 1588046               0                         0       47089
   34        171  1 N/A 1588296               0 Not_exceeded              171 1588296               0                         0       47089
   35        176  1 N/A 1588546               0 Not_exceeded              176 1588546               0                         0       47089
   36        181  1 N/A 1588796               0 Not_exceeded              181 1588796               0                         0       47089
   37        186  1 N/A 1589046               0 Not_exceeded              186 1589046               0                         0       47089
   38        191  1 N/A 1589296               0 Not_exceeded              191 1589296               0                         0       47089
   39        196  1 N/A 1589546               0 Not_exceeded              196 1589546               0                         0       47089
   40        201  1 N/A 1589796               0 Not_exceeded              201 1589796               0                         0       47089
   41        206  1 N/A 1590046               0 Not_exceeded              206 1590046               0                         0       47089
   42        211  1 N/A 1590296               0 Not_exceeded              211 1590296               0                         0       47089
   43        216  1 N/A 1590546               0 Not_exceeded              216 1590546               0                         0       47089
   44        221  1 N/A 1590796               0 Not_exceeded              221 1590796               0                         0       47089
   45        226  1 N/A 1591046               0 Not_exceeded              226 1591046               0                         0       47089
   46        231  1 N/A 1591296               0 Not_exceeded              231 1591296               0                         0       47089
   47        236  1 N/A 1591546               0 Not_exceeded              236 1591546               0                         0       47089
   48        241  1 N/A 1591796               0 Not_exceeded              241 1591796               0                         0       47089
   49        246  1 N/A 1592046               0 Not_exceeded              246 1592046               0                         0       47089
   50        251  1 N/A 1592296               0 Not_exceeded              251 1592296               0                         0       47089
   51        256  1 N/A 1592546               0 Not_exceeded              256 1592546               0                         0       47089
   52        261  1 N/A 1592796               0 Not_exceeded              261 1592796               0                         0       47089
   53        266  1 N/A 1593046               0 Not_exceeded              266 1593046               0                         0       47089
   54        271  1 N/A 1593296               0 Not_exceeded              271 1593296               0                         0       47089
   55        276  1 N/A 1593546               0 Not_exceeded              276 1593546               0                         0       47089
   56        281  1 N/A 1593796               0 Not_exceeded              281 1593796               0                         0       47089
   57        286  1 N/A 1594046               0 Not_exceeded              286 1594046               0                         0       47089
   58        291  1 N/A 1594296               0 Not_exceeded              291 1594296               0                         0       47089
   59        296  1 N/A 1594546               0 Not_exceeded              296 1594546               0                         0       47089
   60        301  1 N/A 1594796               0 Not_exceeded              301 1594796               0                         0       47089
   61        306  1 N/A 1595046               0 Not_exceeded              306 1595046               0                         0       47089
   62        311  1 N/A 1595296               0 Not_exceeded              311 1595296               0                         0       47089
   63        316  1 N/A 1595546               0 Not_exceeded              316 1595546               0                         0       47089
   64        321  1 N/A 1595796               0 Not_exceeded              321 1595796               0                         0       47089
   65        326  1 N/A 1596046               0 Not_exceeded              326 1596046               0                         0       47089
   66        331  1 N/A 1596296               0 Not_exceeded              331 1596296               0                         0       47089
   67        336  1 N/A 1596546               0 Not_exceeded              336 1596546               0                         0       47089
   68        341  1 N/A 1596796               0 Not_exceeded              341 1596796               0                         0       47089
   69        346  1 N/A 1597046               0 Not_exceeded              346 1597046               0                         0       47089
   70        351  1 N/A 1597296               0 Not_exceeded              351 1597296               0                         0       47089
   71        356  1 N/A 1597546               0 Not_exceeded              356 1597546               0                         0       47089
   72        361  1 N/A 1597796               0 Not_exceeded              361 1597796               0                         0       47089
   73        366  1 N/A 1598046               0 Not_exceeded              366 1598046               0                         0       47089
   74        371  1 N/A 1598296               0 Not_exceeded              371 1598296               0                         0       47089
   75        376  1 N/A 1598546               0 Not_exceeded              376 1598546               0                         0       47089
   76        381  1 N/A 1598796               0 Not_exceeded              381 1598796               0                         0       47089
   77        386  1 N/A 1599046               0 Not_exceeded              386 1599046               0                         0       47089
   78        391  1 N/A 1599296               0 Not_exceeded              391 1599296               0                         0       47089
   79        396  1 N/A 1599546               0 Not_exceeded              396 1599546               0                         0       47089
   80        401  1 N/A 1599796               0 Not_exceeded              401 1599796               0                         0       47089
   81        406  1 N/A 1600046               0 Not_exceeded              406 1600046               0                         0       47089
   82        411  1 N/A 1600296               0 Not_exceeded              411 1600296               0                         0       47089
   83        416  1 N/A 1600546               0 Not_exceeded              416 1600546               0                         0       47089
   84        421  1 N/A 1600796               0 Not_exceeded              421 1600796               0                         0       47089
   85        426  1 N/A 1601046               0 Not_exceeded              426 1601046               0                         0       47089
   86        431  1 N/A 1601296               0 Not_exceeded              431 1601296               0                         0       47089
   87        436  1 N/A 1601546               0 Not_exceeded              436 1601546               0                         0       47089
   88        441  1 N/A 1601796               0 Not_exceeded              441 1601796               0                         0       47089
   89        446  1 N/A 1602046               0 Not_exceeded              446 1602046               0                         0       47089
   90        451  1 N/A 1602296               0 Not_exceeded              451 1602296               0                         0       47089
   91        456  1 N/A 1602546               0 Not_exceeded              456 1602546               0                         0       47089
   92        461  2 N/A 1599746               0 Not_exceeded              461 1599746               0                         0       47089
   93        466  1 N/A 1599996               0 Not_exceeded              466 1599996               0                         0       47089
   94        471  1 N/A 1600246               0 Not_exceeded              471 1600246               0                         0       47089
   95        476  1 N/A 1600496               0 Not_exceeded              476 1600496               0                         0       47089
   96        481  1 N/A 1600746               0 Not_exceeded              481 1600746               0                         0       47089
   97        486  1 N/A 1600996               0 Not_exceeded              486 1600996               0                         0       47089
   98        491  1 N/A 1601246               0 Not_exceeded              491 1601246               0                         0       47089
   99        496  1 N/A 1601496               0 Not_exceeded              496 1601496               0                         0       47089
  100        501  1 N/A 1601746               0 Not_exceeded              501 1601746               0                         0       47089
  101        506  1 N/A 1601996               0 Not_exceeded              506 1601996               0                         0       47089
  102        511  1 N/A 1602246               0 Not_exceeded              511 1602246               0                         0       47089
  103        516  1 N/A 1602496               0 Not_exceeded              516 1602496               0                         0       47089
  104        521  2 N/A 1599696               0 Not_exceeded              521 1599696               0                         0       47089
  105        526  2 N/A 1596896               0 Not_exceeded              526 1596896               0                         0       47089
  106        531  2 N/A 1594096               0 Not_exceeded              531 1594096               0                         0       47089
  107        536  2 N/A 1591296               0 Not_exceeded              536 1591296               0                         0       47089
  108        541  1 N/A 1591546               0 Not_exceeded              541 1591546               0                         0       47089
  109        546  1 N/A 1591796               0 Not_exceeded              546 1591796               0                         0       47089
  110        551  1 N/A 1592046               0 Not_exceeded              551 1592046               0                         0       47089
  111        556  1 N/A 1592296               0 Not_exceeded              556 1592296               0                         0       47089
  112        561  1 N/A 1592546               0 Not_exceeded              561 1592546               0                         0       47089
  113        566  1 N/A 1592796               0 Not_exceeded              566 1592796               0                         0       47089
  114        571  1 N/A 1593046               0 Not_exceeded              571 1593046               0                         0       47089
  115        576  2 N/A 1590246               0 Not_exceeded              576 1590246               0                         0       47089
  116        581  2 N/A 1587446               0 Not_exceeded              581 1587446               0                         0       47089
  117        586  1 N/A 1587696               0 Not_exceeded              586 1587696               0                         0       47089
  118        591  1 N/A 1587946               0 Not_exceeded              591 1587946               0                         0       47089
  119        596  1 N/A 1588196               0 Not_exceeded              596 1588196               0                         0       47089
  120        601  1 N/A 1588446               0 Not_exceeded              601 1588446               0                         0       47089
  121        606  1 N/A 1588696               0 Not_exceeded              606 1588696               0                         0       47089
  122        611  1 N/A 1588946               0 Not_exceeded              611 1588946               0                         0       47089
  123        616  1 N/A 1589196               0 Not_exceeded              616 1589196               0                         0       47089
  124        621  1 N/A 1589446               0 Not_exceeded              621 1589446               0                         0       47089
  125        626  1 N/A 1589696               0 Not_exceeded              626 1589696               0                         0       47089
  126        631  1 N/A 1589946               0 Not_exceeded              631 1589946               0                         0       47089
  127        636  1 N/A 1590196               0 Not_exceeded              636 1590196               0                         0       47089
  128        641  1 N/A 1590446               0 Not_exceeded              641 1590446               0                         0       47089
  129        646  1 N/A 1590696               0 Not_exceeded              646 1590696               0                         0       47089
  130        651  1 N/A 1590946               0 Not_exceeded              651 1590946               0                         0       47089
  131        656  1 N/A 1591196               0 Not_exceeded              656 1591196               0                         0       47089
  132        661  1 N/A 1591446               0 Not_exceeded              661 1591446               0                         0       47089
  133        666  1 N/A 1591696               0 Not_exceeded              666 1591696               0                         0       47089
  134        671  1 N/A 1591946               0 Not_exceeded              671 1591946               0                         0       47089
  135        676  1 N/A 1592196               0 Not_exceeded              676 1592196               0                         0       47089
  136        681  2 N/A 1589396               0 Not_exceeded              681 1589396               0                         0       47089
  137        686  1 N/A 1589646               0 Not_exceeded              686 1589646               0                         0       47089
  138        691  1 N/A 1589896               0 Not_exceeded              691 1589896               0                         0       47089
  139        696  2 N/A 1587096               0 Not_exceeded              696 1587096               0                         0       47089
  140        701  1 N/A 1587346               0 Not_exceeded              701 1587346               0                         0       47089
  141        706  1 N/A 1587596               0 Not_exceeded              706 1587596               0                         0       47089
  142        711  1 N/A 1587846               0 Not_exceeded              711 1587846               0                         0       47089
  143        716  1 N/A 1588096               0 Not_exceeded              716 1588096               0                         0       47089
  144        721  1 N/A 1588346               0 Not_exceeded              721 1588346               0                         0       47089
  145        726  1 N/A 1588596               0 Not_exceeded              726 1588596               0                         0       47089
  146        731  1 N/A 1588846               0 Not_exceeded              731 1588846               0                         0       47089
  147        736  1 N/A 1589096               0 Not_exceeded              736 1589096               0                         0       47089
  148        741  2 N/A 1586296               0 Not_exceeded              741 1586296               0                         0       47089
  149        746  2 N/A 1583496               0 Not_exceeded              746 1583496               0                         0       47089
  150        751  1 N/A 1583746               0 Not_exceeded              751 1583746               0                         0       47089
  151        756  1 N/A 1583996               0 Not_exceeded              756 1583996               0                         0       47089
  152        761  1 N/A 1584246               0 Not_exceeded              761 1584246               0                         0       47089
  153        766  1 N/A 1584496               0 Not_exceeded              766 1584496               0                         0       47089
  154        771  1 N/A 1584746               0 Not_exceeded              771 1584746               0                         0       47089
  155        776  1 N/A 1584996               0 Not_exceeded              776 1584996               0                         0       47089
  156        781  1 N/A 1585246               0 Not_exceeded              781 1585246               0                         0       47089
  157        786  1 N/A 1585496               0 Not_exceeded              786 1585496               0                         0       47089
  158        791  1 N/A 1585746               0 Not_exceeded              791 1585746               0                         0       47089
  159        796  2 N/A 1582946               0 Not_exceeded              796 1582946               0                         0       47089
  160        801  1 N/A 1583196               0 Not_exceeded              801 1583196               0                         0       47089
  161        806  1 N/A 1583446               0 Not_exceeded              806 1583446               0                         0       47089
  162        811  2 N/A 1580646               0 Not_exceeded              811 1580646               0                         0       47089
  163        816  1 N/A 1580896               0 Not_exceeded              816 1580896               0                         0       47089
  164        821  1 N/A 1581146               0 Not_exceeded              821 1581146               0                         0       47089
  165        826  1 N/A 1581396               0 Not_exceeded              826 1581396               0                         0       47089
  166        831  1 N/A 1581646               0 Not_exceeded              831 1581646               0                         0       47089
  167        836  1 N/A 1581896               0 Not_exceeded              836 1581896               0                         0       47089
  168        841  1 N/A 1582146               0 Not_exceeded              841 1582146               0                         0       47089
  169        846  1 N/A 1582396               0 Not_exceeded              846 1582396               0                         0       47089
  170        851  1 N/A 1582646               0 Not_exceeded              851 1582646               0                         0       47089
  171        856  1 N/A 1582896               0 Not_exceeded              856 1582896               0                         0       47089
  172        861  1 N/A 1583146               0 Not_exceeded              861 1583146               0                         0       47089
  173        866  1 N/A 1583396               0 Not_exceeded              866 1583396               0                         0       47089
  174        871  1 N/A 1583646               0 Not_exceeded              871 1583646               0                         0       47089
  175        876  1 N/A 1583896               0 Not_exceeded              876 1583896               0                         0       47089
  176        881  1 N/A 1584146               0 Not_exceeded              881 1584146               0                         0       47089
  177        886  1 N/A 1584396               0 Not_exceeded              886 1584396               0                         0       47089
  178        891  2 N/A 1581596               0 Not_exceeded              891 1581596               0                         0       47089
  179        896  2 N/A 1578796               0 Not_exceeded              896 1578796               0                         0       47089
  180        901  1 N/A 1579046               0 Not_exceeded              901 1579046               0                         0       47089
  181        906  1 N/A 1579296               0 Not_exceeded              906 1579296               0                         0       47089
  182        911  1 N/A 1579546               0 Not_exceeded              911 1579546               0                         0       47089
  183        916  2 N/A 1576746               0 Not_exceeded              916 1576746               0                         0       47089
  184        921  1 N/A 1576996               0 Not_exceeded              921 1576996               0                         0       47089
  185        926  2 N/A 1574196               0 Not_exceeded              926 1574196               0                         0       47089
  186        931  1 N/A 1574446               0 Not_exceeded              931 1574446               0                         0       47089
  187        936  1 N/A 1574696               0 Not_exceeded              936 1574696               0                         0       47089
  188        941  1 N/A 1574946               0 Not_exceeded              941 1574946               0                         0       47089
  189        946  1 N/A 1575196               0 Not_exceeded              946 1575196               0                         0       47089
  190        951  1 N/A 1575446               0 Not_exceeded              951 1575446               0                         0       47089
  191        956  1 N/A 1575696               0 Not_exceeded              956 1575696               0                         0       47089
  192        961  2 N/A 1572896               0 Not_exceeded              961 1572896               0                         0       47089
  193        966  1 N/A 1573146               0 Not_exceeded              966 1573146               0                         0       47089
  194        971  2 N/A 1570346               0 Not_exceeded              971 1570346               0                         0       47089
  195        976  2 N/A 1567546               0 Not_exceeded              976 1567546               0                         0       47089
  196        981  1 N/A 1567796               0 Not_exceeded              981 1567796               0                         0       47089
  197        986  2 N/A 1564996               0 Not_exceeded              986 1564996               0                         0       47089
  198        991  2 N/A 1562196               0 Not_exceeded              991 1562196               0                         0       47089
  199        996  2 N/A 1559396               0 Not_exceeded              996 1559396               0                         0       47089
  200       1001  1 N/A 1559646               0 Not_exceeded             1001 1559646               0                         0       47089
  201       1006  1 N/A 1559896               0 Not_exceeded             1006 1559896               0                         0       47089
  202       1011  2 N/A 1557096               0 Not_exceeded             1011 1557096               0                         0       47089
  203       1016  2 N/A 1554296               0 Not_exceeded             1016 1554296               0                         0       47089
  204       1021  2 N/A 1551496               0 Not_exceeded             1021 1551496               0                         0       47089
  205       1026  2 N/A 1548696               0 Not_exceeded             1026 1548696               0                         0       47089
  206       1031  1 N/A 1548946               0 Not_exceeded             1031 1548946               0                         0       47089
  207       1036  1 N/A 1549196               0 Not_exceeded             1036 1549196               0                         0       47089
  208       1041  2 N/A 1546396               0 Not_exceeded             1041 1546396               0                         0       47089
  209       1046  2 N/A 1543596               0 Not_exceeded             1046 1543596               0                         0       47089
  210       1051  2 N/A 1540796               0 Not_exceeded             1051 1540796               0                         0       47089
  211       1056  2 N/A 1537996               0 Not_exceeded             1056 1537996               0                         0       47089
  212       1061  1 N/A 1538246               0 Not_exceeded             1061 1538246               0                         0       47089
  213       1066  1 N/A 1538496               0 Not_exceeded             1066 1538496               0                         0       47089
  214       1071  2 N/A 1535696               0 Not_exceeded             1071 1535696               0                         0       47089
  215       1076  2 N/A 1532896               0 Not_exceeded             1076 1532896               0                         0       47089
  216       1081  2 N/A 1530096               0 Not_exceeded             1081 1530096               0                         0       47089
  217       1086  1 N/A 1530346               0 Not_exceeded             1086 1530346               0                         0       47089
  218       1091  1 N/A 1530596               0 Not_exceeded             1091 1530596               0                         0       47089
  219       1096  2 N/A 1527796               0 Not_exceeded             1096 1527796               0                         0       47089
  220       1101  1 N/A 1528046               0 Not_exceeded             1101 1528046               0                         0       47089
  221       1106  2 N/A 1525246               0 Not_exceeded             1106 1525246               0                         0       47089
  222       1111  2 N/A 1522446               0 Not_exceeded             1111 1522446               0                         0       47089
  223       1116  2 N/A 1519646               0 Not_exceeded             1116 1519646               0                         0       47089
  224       1121  1 N/A 1519896               0 Not_exceeded             1121 1519896               0                         0       47089
  225       1126  2 N/A 1517096               0 Not_exceeded             1126 1517096               0                         0       47089
  226       1131  2 N/A 1514296               0 Not_exceeded             1131 1514296               0                         0       47089
  227       1136  2 N/A 1511496               0 Not_exceeded             1136 1511496               0                         0       47089
  228       1141  2 N/A 1508696               0 Not_exceeded             1141 1508696               0                         0       47089
  229       1146  2 N/A 1505896               0 Not_exceeded             1146 1505896               0                         0       47089
  230       1151  2 N/A 1503096               0 Not_exceeded             1151 1503096               0                         0       47089
  231       1156  1 N/A 1503346               0 Not_exceeded             1156 1503346               0                         0       47089
  232       1161  2 N/A 1500546               0 Not_exceeded             1161 1500546               0                         0       47089
  233       1166  1 N/A 1500796               0 Not_exceeded             1166 1500796               0                         0       47089
  234       1171  2 N/A 1497996               0 Not_exceeded             1171 1497996               0                         0       47089
  235       1176  2 N/A 1495196               0 Not_exceeded             1176 1495196               0                         0       47089
  236       1181  1 N/A 1495446               0 Not_exceeded             1181 1495446               0                         0       47089
  237       1186  2 N/A 1492646               0 Not_exceeded             1186 1492646               0                         0       47089
  238       1191  1 N/A 1492896               0 Not_exceeded             1191 1492896               0                         0       47089
  239       1196  2 N/A 1490096               0 Not_exceeded             1196 1490096               0                         0       47089
  240       1201  2 N/A 1487296               0 Not_exceeded             1201 1487296               0                         0       47089
  241       1206  1 N/A 1487546               0 Not_exceeded             1206 1487546               0                         0       47089
  242       1211  1 N/A 1487796               0 Not_exceeded             1211 1487796               0                         0       47089
  243       1216  2 N/A 1484996               0 Not_exceeded             1216 1484996               0                         0       47089
  244       1221  2 N/A 1482196               0 Not_exceeded             1221 1482196               0                         0       47089
  245       1226  2 N/A 1479396               0 Not_exceeded             1226 1479396               0                         0       47089
  246       1231  1 N/A 1479646               0 Not_exceeded             1231 1479646               0                         0       47089
  247       1236  1 N/A 1479896               0 Not_exceeded             1236 1479896               0                         0       47089
  248       1241  1 N/A 1480146               0 Not_exceeded             1241 1480146               0                         0       47089
  249       1246  1 N/A 1480396               0 Not_exceeded             1246 1480396               0                         0       47089
  250       1251  1 N/A 1480646               0 Not_exceeded             1251 1480646               0                         0       47089
  251       1256  1 N/A 1480896               0 Not_exceeded             1256 1480896               0                         0       47089
  252       1261  1 N/A 1481146               0 Not_exceeded             1261 1481146               0                         0       47089
  253       1266  1 N/A 1481396               0 Not_exceeded             1266 1481396               0                         0       47089
  254       1271  1 N/A 1481646               0 Not_exceeded             1271 1481646               0                         0       47089
  255       1276  1 N/A 1481896               0 Not_exceeded             1276 1481896               0                         0       47089
  256       1281  1 N/A 1482146               0 Not_exceeded             1281 1482146               0                         0       47089
  257       1286  1 N/A 1482396               0 Not_exceeded             1286 1482396               0                         0       47089
  258       1291  1 N/A 1482646               0 Not_exceeded             1291 1482646               0                         0       47089
  259       1296  1 N/A 1482896               0 Not_exceeded             1296 1482896               0                         0       47089
  260       1301  1 N/A 1483146               0 Not_exceeded             1301 1483146               0                         0       47089
  261       1306  1 N/A 1483396               0 Not_exceeded             1306 1483396               0                         0       47089
  262       1311  1 N/A 1483646               0 Not_exceeded             1311 1483646               0                         0       47089
  263       1316  1 N/A 1483896               0 Not_exceeded             1316 1483896               0                         0       47089
  264       1321  1 N/A 1484146               0 Not_exceeded             1321 1484146               0                         0       47089
  265       1326  1 N/A 1484396               0 Not_exceeded             1326 1484396               0                         0       47089
  266       1331  1 N/A 1484646               0 Not_exceeded             1331 1484646               0                         0       47089
  267       1336  1 N/A 1484896               0 Not_exceeded             1336 1484896               0                         0       47089
  268       1341  1 N/A 1485146               0 Not_exceeded             1341 1485146               0                         0       47089
  269       1346  1 N/A 1485396               0 Not_exceeded             1346 1485396               0                         0       47089
  270       1351  1 N/A 1485646               0 Not_exceeded             1351 1485646               0                         0       47089
  271       1356  1 N/A 1485896               0 Not_exceeded             1356 1485896               0                         0       47089
  272       1361  1 N/A 1486146               0 Not_exceeded             1361 1486146               0                         0       47089
  273       1366  1 N/A 1486396               0 Not_exceeded             1366 1486396               0                         0       47089
  274       1371  1 N/A 1486646               0 Not_exceeded             1371 1486646               0                         0       47089
  275       1376  1 N/A 1486896               0 Not_exceeded             1376 1486896               0                         0       47089
  276       1381  1 N/A 1487146               0 Not_exceeded             1381 1487146               0                         0       47089
  277       1386  1 N/A 1487396               0 Not_exceeded             1386 1487396               0                         0       47089
  278       1391  1 N/A 1487646               0 Not_exceeded             1391 1487646               0                         0       47089
  279       1396  1 N/A 1487896               0 Not_exceeded             1396 1487896               0                         0       47089
  280       1401  1 N/A 1488146               0 Not_exceeded             1401 1488146               0                         0       47089
  281       1406  2 N/A 1485346               0 Not_exceeded             1406 1485346               0                         0       47089
  282       1411  1 N/A 1485596               0 Not_exceeded             1411 1485596               0                         0       47089
  283       1416  2   - 1482796               0 Not_exceeded             1416 1482796               0                         0       47089
  284       1421  0 N/A 1485484               0 Not_exceeded             1421 1485484               0                         0       47089
  285       1426  2   - 1482684               0 Not_exceeded             1426 1482684               0                         0       47089
  286       1431  0 N/A 1485372               0 Not_exceeded             1431 1485372               0                         0       47089
  287       1436  0 N/A 1488060               0 Not_exceeded             1436 1488060               0                         0       47089
  288       1441  2   - 1485260               0 Not_exceeded             1441 1485260               0                         0       47089
  289       1446  2   - 1482460               0 Not_exceeded             1446 1482460               0                         0       47089
  290       1451  0 N/A 1485148               0 Not_exceeded             1451 1485148               0                         0       47089
  291       1456  2   - 1482348               0 Not_exceeded             1456 1482348               0                         0       47089
  292       1461  0 N/A 1485036               0 Not_exceeded             1461 1485036               0                         0       47089
  293       1466  0 N/A 1487724               0 Not_exceeded             1466 1487724               0                         0       47089
  294       1471  0 N/A 1490412               0 Not_exceeded             1471 1490412               0                         0       47089
  295       1476  1   - 1490662               0 Not_exceeded             1476 1490662               0                         0       47089
  296       1481  2   - 1487862               0 Not_exceeded             1481 1487862               0                         0       47089
  297       1486  0 N/A 1490550               0 Not_exceeded             1486 1490550               0                         0       47089
  298       1491  0 N/A 1493238               0 Not_exceeded             1491 1493238               0                         0       47089
  299       1496  0 N/A 1495926               0 Not_exceeded             1496 1495926               0                         0       47089
  300       1501  1   - 1496176               0 Not_exceeded             1501 1496176               0                         0       47089
  301       1506  1   - 1496426               0 Not_exceeded             1506 1496426               0                         0       47089
  302       1511  0 N/A 1499114               0 Not_exceeded             1511 1499114               0                         0       47089
  303       1516  2   - 1496314               0 Not_exceeded             1516 1496314               0                         0       47089
  304       1521  2   - 1493514               0 Not_exceeded             1521 1493514               0                         0       47089
  305       1526  0 N/A 1496202               0 Not_exceeded             1526 1496202               0                         0       47089
  306       1531  2   - 1493402               0 Not_exceeded             1531 1493402               0                         0       47089
  307       1536  2   - 1490602               0 Not_exceeded             1536 1490602               0                         0       47089
  308       1541  0 N/A 1493290               0 Not_exceeded             1541 1493290               0                         0       47089
  309       1546  2   - 1490490               0 Not_exceeded             1546 1490490               0                         0       47089
  310       1551  0 N/A 1493178               0 Not_exceeded             1551 1493178               0                         0       47089
  311       1556  0 N/A 1495866               0 Not_exceeded             1556 1495866               0                         0       47089
  312       1561  0 N/A 1498554               0 Not_exceeded             1561 1498554               0                         0       47089
  313       1566  2   - 1495754               0 Not_exceeded             1566 1495754               0                         0       47089
  314       1571  2   - 1492954               0 Not_exceeded             1571 1492954               0                         0       47089
  315       1576  0 N/A 1495642               0 Not_exceeded             1576 1495642               0                         0       47089
  316       1581  0 N/A 1498330               0 Not_exceeded             1581 1498330               0                         0       47089
  317       1586  0 N/A 1501018               0 Not_exceeded             1586 1501018               0                         0       47089
  318       1591  2   - 1498218               0 Not_exceeded             1591 1498218               0                         0       47089
  319       1596  0 N/A 1500906               0 Not_exceeded             1596 1500906               0                         0       47089
  320       1601  2   - 1498106               0 Not_exceeded             1601 1498106               0                         0       47089
  321       1606  2   - 1495306               0 Not_exceeded             1606 1495306               0                         0       47089
