  0 39611770 39660976   49206 2
  1 39662496 40367342  704846 2
  2 40368862 40390114   21252 2
  3 40394744 40416365   21621 2
  4 40420763 40441738   20975 2
  5 40443258 40594079  150821 2
  6 40595599 40617076   21477 2
  7 40618596 41108694  490098 2
  8 41110214 41112715    2501 2
  9 41112715 41123753   11038 2
 10 41123753 41130439    6686 2
 11 41130439 41135241    4802 2
 12 41135241 41135241       0 2
 13 41135241 41158362   23121 2
 14 41159882 41270824  110942 2
 15 41272344 41274569    2225 2
 16 41274569 41302281   27712 4
 17 41302281 41302282       1 2
 18 41303802 41501888  198086 2
 19 41503408 41504728    1320 2
 20 41504728 41526672   21944 4
 21 41526672 41526673       1 2
 22 41543034 41565984   22950 2
 23 41565984 41577716   11732 2
 24 41579236 41679395  100159 2
 25 41680915 41719331   38416 1
 26 41719331 41722648    3317 1
 27 41722648 41722648       0 1
 28 41722648 41722648       0 1
 29 41722648 41723241     593 1
 30 41723241 41727550    4309 1
 31 41727550 41750862   23312 1
 32 41750862 41761049   10187 1
 33 41763291 41787974   24683 1
 34 41802383 41829861   27478 1
 35 41829861 41829861       0 1
 36 41829861 41829861       0 1
 37 41829861 41829861       0 1
 38 41829861 41829861       0 1
 39 41829861 41829861       0 1
 40 41829861 41829861       0 1
 41 41829861 41829861       0 1
 42 41829861 41829861       0 1
 43 41829861 41839409    9548 1
 44 41839409 41839409       0 1
 45 41839409 41839409       0 1
 46 41839409 41839409       0 1
 47 41839409 41839409       0 1
 48 41839409 41839409       0 1
 49 41839409 41839409       0 1
 50 41839409 41842720    3311 1
 51 41842720 41842720       0 1
 52 41842720 41842721       1 1
 53 41842721 41846230    3509 1
 54 41846230 41846230       0 1
 55 41846230 41846230       0 1
 56 41846230 41846230       0 1
 57 41846230 41846230       0 1
 58 41846230 41846230       0 1
 59 41846230 41846230       0 1
 60 41846230 41846230       0 1
 61 41846230 41846230       0 1
 62 41846230 41846230       0 1
 63 41846230 41846230       0 1
 64 41846230 41846230       0 1
 65 41846230 41846230       0 1
 66 41846230 41846230       0 1
 67 41846230 41846230       0 1
 68 41846230 41846230       0 1
 69 41846230 41846230       0 1
 70 41846230 41846230       0 1
 71 41846230 41848296    2066 1
 72 41848296 41848296       0 1
 73 41848296 41848296       0 1
 74 41848296 41848296       0 1
 75 41848296 41848296       0 1
 76 41848296 41870089   21793 1
 77 41886007 41913200   27193 1
 78 41913200 41917607    4407 1
 79 41917607 41917607       0 1
 80 41917607 41940470   22863 1
 81 41940470 41940470       0 1
 82 41940470 41945342    4872 1
 83 41945342 41948083    2741 1
 84 41948083 41989949   41866 1
 85 41990258 42013794   23536 1
 86 42015314 42156892  141578 2
 87 42158412 42271432  113020 4
 88 42271432 42271433       1 1
 89 42271433 42274902    3469 1
 90 42274902 42275944    1042 1
 91 42275944 42284753    8809 1
 92 42284753 42284753       0 1
 93 42284753 42284753       0 1
 94 42284753 42288112    3359 1
 95 42288112 42298198   10086 1
 96 42298198 42311582   13384 1
 97 42311582 42313566    1984 1
 98 42313566 42313727     161 1
 99 42313727 42318561    4834 1
100 42318561 42318561       0 1
101 42318561 42344312   25751 1
102 42344312 42344312       0 1
103 42344312 42344312       0 1
104 42344312 42344312       0 1
105 42344312 42344312       0 1
106 42344312 42344312       0 1
107 42344312 42360707   16395 1
108 42360707 42360708       1 1
109 42360708 42365887    5179 1
110 42365887 42365888       1 1
111 42365888 42365888       0 1
112 42365888 42365888       0 1
113 42365888 42366189     301 1
114 42377719 42832932  455213 4
115 42832932 42832932       0 1
116 42832932 42832932       0 1
117 42832932 42832932       0 1
118 42832932 42832932       0 1
119 42832932 42832933       1 1
120 42892827 42926536   33709 1
121 42926536 42957810   31274 1
122 42959330 44204482 1245152 2
123 44206002 44233653   27651 1
124 44235174 44329368   94194 2
125 44330888 44331423     535 1
126 44331423 44355328   23905 1
127 44356848 44547006  190158 2
128 44548526 44571155   22629 1
129 44571155 44650449   79294 1
130 44650449 44695264   44815 1
131 44696784 44909188  212404 2
132 44910708 44953757   43049 1
133 44955277 45385658  430381 2
134 45387178 45412805   25627 1
135 45414325 45648899  234574 2
136 45741730 45937398  195668 2
137 45937398 45937399       1 2
138 45938919 46139692  200773 2
139 46141212 46221232   80020 2
140 46221232 46231326   10094 2
141 46234261 46258763   24502 2
142 46260283 46880998  620715 2
143 46882518 46918635   36117 2
144 46918635 46918635       0 2
145 46918635 46918636       1 2
146 46920156 47037456  117300 2
147 47038976 47069326   30350 2
148 47069326 47069327       1 2
149 47069327 47182713  113386 2
150 47184233 47485125  300892 2
151 47486645 47613406  126761 4
152 47613406 47613407       1 2
153 47648879 47651728    2849 2
154 47651728 47656186    4458 2
155 47656186 47656186       0 2
156 47656186 47656186       0 2
157 47656186 47657074     888 2
158 47657074 47657074       0 2
159 47657074 47658393    1319 2
160 47658393 47680882   22489 2
161 47680882 47680882       0 2
162 47680882 47680882       0 2
163 47680882 47680882       0 2
164 47680882 47680882       0 2
165 47680882 47680882       0 2
166 47680882 47680882       0 2
