  i start_time S a1 objective_value    violation time_of_incident     mi1 final_objective          feasible_better S_Objective
283       1416 2  -            1993 Not_exceeded             1416 1488284           45965 Feasible_worse_objective       47089
283       1416 2  -            1994 Not_exceeded             1421 1490972           45966 Feasible_worse_objective       47089
283       1416 2  -            1994 Not_exceeded             1426 1488172           45966 Feasible_worse_objective       47089
283       1416 2  -            1995 Not_exceeded             1431 1490860           45967 Feasible_worse_objective       47089
283       1416 2  -            1996 Not_exceeded             1436 1493548           45968 Feasible_worse_objective       47089
283       1416 2  -            1996 Not_exceeded             1441 1490748           45968 Feasible_worse_objective       47089
283       1416 2  -            1996 Not_exceeded             1446 1487948           45968 Feasible_worse_objective       47089
283       1416 2  -            1997 Not_exceeded             1451 1490636           45969 Feasible_worse_objective       47089
283       1416 2  -            1997 Not_exceeded             1456 1487836           45969 Feasible_worse_objective       47089
283       1416 2  -            1998 Not_exceeded             1461 1490524           45970 Feasible_worse_objective       47089
283       1416 2  -            1999 Not_exceeded             1466 1493212           45971 Feasible_worse_objective       47089
283       1416 2  -            2000 Not_exceeded             1471 1495900           45972 Feasible_worse_objective       47089
283       1416 2  -            2000 Not_exceeded             1476 1496150           45972 Feasible_worse_objective       47089
283       1416 2  -            2000 Not_exceeded             1481 1493350           45972 Feasible_worse_objective       47089
283       1416 2  -            2001 Not_exceeded             1486 1496038           45973 Feasible_worse_objective       47089
283       1416 2  -            2002 Not_exceeded             1491 1498726           45974 Feasible_worse_objective       47089
283       1416 2  -            2003 Not_exceeded             1496 1501414           45975 Feasible_worse_objective       47089
283       1416 2  -            2003 Not_exceeded             1501 1501664           45975 Feasible_worse_objective       47089
283       1416 2  -            2003 Not_exceeded             1506 1501914           45975 Feasible_worse_objective       47089
283       1416 2  -            2004 Not_exceeded             1511 1504602           45976 Feasible_worse_objective       47089
283       1416 2  -            2004 Not_exceeded             1516 1501802           45976 Feasible_worse_objective       47089
283       1416 2  -            2004 Not_exceeded             1521 1499002           45976 Feasible_worse_objective       47089
283       1416 2  -            2005 Not_exceeded             1526 1501690           45977 Feasible_worse_objective       47089
283       1416 2  -            2005 Not_exceeded             1531 1498890           45977 Feasible_worse_objective       47089
283       1416 2  -            2005 Not_exceeded             1536 1496090           45977 Feasible_worse_objective       47089
283       1416 2  -            2006 Not_exceeded             1541 1498778           45978 Feasible_worse_objective       47089
283       1416 2  -            2006 Not_exceeded             1546 1495978           45978 Feasible_worse_objective       47089
283       1416 2  -            2007 Not_exceeded             1551 1498666           45979 Feasible_worse_objective       47089
283       1416 2  -            2008 Not_exceeded             1556 1501354           45980 Feasible_worse_objective       47089
283       1416 2  -            2009 Not_exceeded             1561 1504042           45981 Feasible_worse_objective       47089
283       1416 2  -            2009 Not_exceeded             1566 1501242           45981 Feasible_worse_objective       47089
