    i start_time  S a2 objective_value    violation time_of_incident     mi2 final_objective           feasible_better S_Objective
  310       1551  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  311       1556  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  312       1561  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  313       1566  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  314       1571  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  315       1576  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  316       1581  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  317       1586  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  318       1591  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  319       1596  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  320       1601  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  321       1606  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  322       1611  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  323       1616  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  324       1621  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  326       1631  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  327       1636  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  328       1641  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  329       1646  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  331       1656  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  333       1666  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  336       1681  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  339       1696  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  341       1706  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  342       1711  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  345       1726  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  346       1731  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  348       1741  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  350       1751  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  353       1766  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  358       1791  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  360       1801  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  361       1806  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  363       1816  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  366       1831  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  368       1841  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  370       1851  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  371       1856  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  373       1866  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  377       1886  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  381       1906  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  387       1936  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  390       1951  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  393       1966  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  395       1976  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  397       1986  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  398       1991  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  399       1996  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  400       2001  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  401       2006  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  403       2016  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  404       2021  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  407       2036  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  409       2046  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  411       2056  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  412       2061  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  413       2066  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  419       2096  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  420       2101  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  421       2106  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  422       2111  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  423       2116  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  426       2131  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  433       2166  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  435       2176  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  437       2186  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  438       2191  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  441       2206  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  446       2231  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  448       2241  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  450       2251  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  452       2261  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  453       2266  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  456       2281  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  457       2286  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  460       2301  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  461       2306  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  462       2311  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  463       2316  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  464       2321  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  469       2346  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  470       2351  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  471       2356  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  472       2361  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  474       2371  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  475       2376  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  476       2381  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  477       2386  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  480       2401  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  481       2406  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  482       2411  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  484       2421  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  489       2446  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  490       2451  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  493       2466  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  494       2471  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  495       2476  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  496       2481  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
  502       2511  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  506       2531  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  511       2556  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  632       3161  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  638       3191  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  702       3511  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  741       3706  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  748       3741  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  750       3751  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  760       3801  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  768       3841  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  770       3851  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  787       3936  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  934       4671  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  949       4746  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  951       4756  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  978       4891  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  984       4921  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
  991       4956  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1016       5081  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1018       5091  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1022       5111  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1023       5116  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1034       5171  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1036       5181  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1038       5191  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1511       7556  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1516       7581  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1517       7586  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1519       7596  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1521       7606  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1525       7626  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1526       7631  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1527       7636  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1528       7641  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1529       7646  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1530       7651  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1531       7656  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1535       7676  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1537       7686  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1539       7696  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1540       7701  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1541       7706  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1544       7721  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1545       7726  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1547       7736  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1549       7746  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1552       7761  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1553       7766  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1556       7781  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1557       7786  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
