    i start_time  S a2 objective_value    violation time_of_incident     mi2 final_objective           feasible_better S_Objective
 3697      18486 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3698      18491 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3699      18496 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3701      18506 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3702      18511 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3703      18516 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3704      18521 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3705      18526 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3706      18531 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3707      18536 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3708      18541 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3709      18546 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3710      18551 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3711      18556 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3712      18561 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3713      18566 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3714      18571 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3715      18576 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3716      18581 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3718      18591 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3719      18596 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3720      18601 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3721      18606 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3722      18611 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3723      18616 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3724      18621 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3725      18626 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3726      18631 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3727      18636 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3728      18641 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3729      18646 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3730      18651 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3731      18656 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3732      18661 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3733      18666 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3734      18671 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3735      18676 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3736      18681 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3737      18686 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3739      18696 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3740      18701 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3741      18706 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3742      18711 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3743      18716 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3744      18721 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3745      18726 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3746      18731 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3748      18741 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3749      18746 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3750      18751 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3751      18756 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3752      18761 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3753      18766 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3754      18771 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3755      18776 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3756      18781 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3757      18786 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3758      18791 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3759      18796 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3760      18801 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3761      18806 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3762      18811 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3763      18816 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3764      18821 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3765      18826 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3767      18836 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3768      18841 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3769      18846 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3770      18851 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3772      18861 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3773      18866 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3774      18871 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3776      18881 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3777      18886 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3778      18891 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3780      18901 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3781      18906 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3782      18911 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3783      18916 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3785      18926 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3787      18936 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3788      18941 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3789      18946 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3790      18951 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3791      18956 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3792      18961 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3793      18966 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3794      18971 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3795      18976 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3796      18981 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3797      18986 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3798      18991 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3799      18996 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3800      19001 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3802      19011 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3803      19016 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3804      19021 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3805      19026 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3806      19031 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3807      19036 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3808      19041 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3809      19046 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3810      19051 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3811      19056 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3812      19061 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3813      19066 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3814      19071 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3815      19076 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3816      19081 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3817      19086 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3818      19091 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3819      19096 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3821      19106 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3822      19111 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3823      19116 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3824      19121 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3825      19126 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3826      19131 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3827      19136 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3828      19141 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3829      19146 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3830      19151 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3831      19156 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3832      19161 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3833      19166 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3834      19171 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3835      19176 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3836      19181 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3837      19186 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3838      19191 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3840      19201 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3841      19206 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3842      19211 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3843      19216 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3844      19221 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3845      19226 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3846      19231 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3847      19236 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3848      19241 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3849      19246 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3850      19251 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3851      19256 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3852      19261 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3853      19266 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3855      19276 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3856      19281 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3857      19286 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3858      19291 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3859      19296 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3860      19301 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3861      19306 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3862      19311 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3863      19316 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3864      19321 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3866      19331 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3867      19336 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3870      19351 -1  -               0     Exceeded            19356 1920112               0                Infeasible       47089
 3872      19361  2  -           22854     Exceeded            19361 1920112               0                Infeasible       47089
 3873      19366  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3874      19371  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3875      19376  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3876      19381  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3877      19386  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3878      19391  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3879      19396  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3880      19401  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3881      19406  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3882      19411  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3883      19416  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3884      19421  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3885      19426  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3886      19431  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3887      19436  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3888      19441  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3889      19446  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3890      19451  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3891      19456  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3892      19461  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3893      19466  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3894      19471  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3895      19476  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3896      19481  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3897      19486  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3898      19491  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3899      19496  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3900      19501  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3901      19506  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3902      19511  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3903      19516  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3904      19521  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3905      19526  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3906      19531  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3907      19536  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3908      19541  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3909      19546  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3910      19551  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3911      19556  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3912      19561  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3913      19566  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3914      19571  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3915      19576  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3916      19581  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3917      19586  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3918      19591  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3919      19596  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3920      19601  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3921      19606  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3922      19611  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3923      19616  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3924      19621  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3925      19626  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3926      19631  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3927      19636  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3928      19641  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3929      19646  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3930      19651  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3931      19656  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3932      19661  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3933      19666  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3934      19671  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3935      19676  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3936      19681  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3937      19686  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3938      19691  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3939      19696  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3940      19701  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3941      19706  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3942      19711  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3943      19716  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3944      19721  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3945      19726  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3946      19731  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3947      19736  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3948      19741  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3949      19746  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3950      19751  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3951      19756  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3952      19761  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3953      19766  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3954      19771  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3955      19776  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3956      19781  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3957      19786  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3958      19791  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3959      19796  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3960      19801  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3961      19806  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3962      19811  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3963      19816  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3964      19821  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3965      19826  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3966      19831  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3967      19836  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3968      19841  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3969      19846  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3970      19851  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3971      19856  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3972      19861  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3973      19866  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3974      19871  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3975      19876  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3976      19881  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3977      19886  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3978      19891  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3979      19896  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3980      19901  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3981      19906  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3982      19911  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3983      19916  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3984      19921  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3985      19926  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3986      19931  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3987      19936  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3988      19941  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3989      19946  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3990      19951  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3991      19956  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3992      19961  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3993      19966  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3994      19971  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3995      19976  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3996      19981  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3997      19986  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3998      19991  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 3999      19996  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4000      20001  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4001      20006  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4002      20011  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4003      20016  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4004      20021  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4005      20026  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4006      20031  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4007      20036  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4008      20041  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4009      20046  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4010      20051  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4011      20056  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4012      20061  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4013      20066  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4014      20071  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4015      20076  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4016      20081  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4017      20086  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4018      20091  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4019      20096  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4020      20101  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4021      20106  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4022      20111  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4023      20116  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4024      20121  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4025      20126  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4026      20131  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4027      20136  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4028      20141  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4029      20146  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4030      20151  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4031      20156  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4032      20161  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4033      20166  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4034      20171  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4035      20176  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4036      20181  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4037      20186  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4038      20191  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4039      20196  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4040      20201  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4041      20206  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4042      20211  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4043      20216  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4044      20221  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4045      20226  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4046      20231  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4047      20236  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4048      20241  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4049      20246  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4050      20251  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4051      20256  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4052      20261  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4053      20266  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4054      20271  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4055      20276  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4056      20281  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4057      20286  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
 4058      20291  2  -               0     Exceeded            79096 1920206               0                Infeasible       47089
