  0 39611770 39660976   49206 2
  1 39662496 40367342  704846 2
  2 40368863 40390115   21252 2
  3 40394744 40416365   21621 2
  4 40420763 40441738   20975 2
  5 40443258 40594079  150821 2
  6 40595599 40617076   21477 2
  7 40618596 41108694  490098 2
  8 41110214 41112715    2501 2
  9 41112715 41130439   17724 2
 10 41130439 41130439       0 2
 11 41130439 41133947    3508 2
 12 41133947 41158361   24414 2
 13 41158361 41158362       1 2
 14 41159882 41270824  110942 2
 15 41272344 41274569    2225 2
 16 41274569 41302281   27712 4
 17 41302281 41302282       1 2
 18 41303802 41501888  198086 2
 19 41503408 41504728    1320 2
 20 41504728 41526672   21944 4
 21 41526672 41526673       1 2
 22 41543034 41565984   22950 2
 23 41565984 41577716   11732 2
 24 41579236 41679395  100159 2
 25 41680915 41719331   38416 1
 26 41719331 41726214    6883 1
 27 41726214 41726214       0 1
 28 41726214 41726214       0 1
 29 41726214 41726214       0 1
 30 41726214 41727550    1336 1
 31 41727550 41735784    8234 1
 32 41735784 41761049   25265 1
 33 41763291 41787974   24683 1
 34 41802383 41804912    2529 1
 35 41804912 41809020    4108 1
 36 41809020 41831173   22153 1
 37 41831173 41831173       0 1
 38 41831173 41831173       0 1
 39 41831173 41831173       0 1
 40 41831173 41831173       0 1
 41 41831173 41831173       0 1
 42 41831173 41831173       0 1
 43 41831173 41831173       0 1
 44 41831173 41831173       0 1
 45 41831173 41831173       0 1
 46 41831173 41831173       0 1
 47 41831173 41831173       0 1
 48 41831173 41831173       0 1
 49 41831173 41831173       0 1
 50 41831173 41831173       0 1
 51 41831173 41831173       0 1
 52 41831173 41831173       0 1
 53 41831173 41846230   15057 1
 54 41846230 41846230       0 1
 55 41846230 41846230       0 1
 56 41846230 41846292      62 1
 57 41846292 41846293       1 1
 58 41846293 41850265    3972 1
 59 41850265 41850265       0 1
 60 41850265 41850265       0 1
 61 41850265 41850265       0 1
 62 41850265 41850265       0 1
 63 41850265 41850265       0 1
 64 41850265 41850265       0 1
 65 41850265 41850265       0 1
 66 41850265 41850265       0 1
 67 41850265 41850265       0 1
 68 41850265 41850265       0 1
 69 41850265 41857086    6821 1
 70 41857086 41861159    4073 1
 71 41861159 41861160       1 1
 72 41861160 41861160       0 1
 73 41861160 41868713    7553 1
 74 41868713 41868939     226 1
 75 41868939 41870088    1149 1
