 0:06:04.846 00:39:46.906  2022.06 Penumbra Shade
 1:57:03.537 01:57:29.987    26.45           Land
 1:57:04.915 01:57:27.559   22.644           Land
 1:57:09.443 01:57:33.117   23.674           Land
 1:57:09.973 01:57:33.167   23.194           Land
 1:57:10.296 01:57:35.081   24.785           Land
 1:57:11.922 01:57:37.885   25.963           Land
 1:57:12.537 01:57:35.258    22.72           Land
 1:57:13.912 01:57:38.758   24.846           Land
 1:57:17.096 01:57:41.649   24.553           Land
 1:57:17.859 01:57:40.205   22.346           Land
 1:57:59.222 01:59:20.563   81.341           Land
 1:58:34.967 01:59:25.295   50.328           Land
 1:59:26.815  2:09:44.470  617.655 Process_images
 2:09:45.990 02:15:33.384  347.394           Land
 2:10:16.226 02:10:57.849   41.623           Land
 2:10:49.848 02:11:13.218    23.37           Land
 2:11:12.264 02:11:45.574    33.31           Land
 2:11:47.094  2:14:00.199  133.105 Process_images
 2:14:01.719 02:14:25.849   24.129           Land
 2:15:01.461 02:15:29.954   28.493           Land
 2:15:04.452 02:16:33.981   89.529           Land
 2:15:11.144 02:15:35.758   24.614           Land
 2:15:24.126 02:15:45.904   21.778           Land
 2:15:30.295 02:15:57.749   27.454           Land
 2:15:36.615 02:15:59.878   23.262           Land
 2:15:36.960 02:16:01.835   24.875           Land
 2:15:40.256 02:16:02.596    22.34           Land
 2:15:50.341 02:29:32.643  822.302     PrudhoeBay
 2:15:52.939 02:16:03.948   11.009           Land
 2:16:10.640 02:27:05.832  655.192       Svalbard
 2:16:28.494 02:17:07.032   38.538           Land
 2:16:33.369 02:16:59.136   25.767           Land
 2:16:43.075 02:17:52.271   69.196           Land
 2:16:43.291 02:17:09.602   26.311           Land
 2:16:50.060 02:17:14.037   23.976           Land
 2:16:51.788 02:18:54.634  122.846           Land
 2:16:53.573 02:17:18.100   24.527           Land
 2:17:00.125 02:17:22.790   22.665           Land
 2:17:00.157 02:17:26.235   26.078           Land
 2:17:00.638 02:17:28.411   27.773           Land
 2:17:08.997 02:17:33.253   24.256           Land
 2:17:12.621 02:17:39.206   26.585           Land
 2:17:22.102 02:17:45.393    23.29           Land
 2:17:23.058 02:17:46.019   22.961           Land
 2:17:25.462 02:17:48.441   22.979           Land
 2:18:07.678 02:18:30.236   22.558           Land
 2:18:33.817 02:19:18.342   44.524           Land
 2:18:37.078 02:20:00.995   83.917           Land
 2:18:43.202 02:19:05.688   22.487           Land
 2:19:01.639 02:19:39.541   37.903           Land
 2:19:04.262 02:19:28.053    23.79           Land
 2:19:14.414 02:19:40.061   25.647           Land
 2:19:17.334 02:19:44.248   26.913           Land
 2:19:18.135 02:19:42.941   24.807           Land
 2:19:18.671 02:20:07.675   49.004           Land
 2:19:19.022 02:19:43.036   24.014           Land
 2:19:23.478 02:19:45.804   22.326           Land
 2:19:23.631 02:19:45.619   21.988           Land
 2:19:28.731 02:19:51.889   23.158           Land
 2:19:38.604 02:20:08.980   30.375           Land
 2:19:38.771 02:20:01.600   22.829           Land
 2:19:41.037 02:20:02.986   21.949           Land
 2:19:43.144 02:20:06.445   23.301           Land
 2:19:45.717 02:20:08.817     23.1           Land
 2:19:46.704 02:20:09.024    22.32           Land
 2:19:48.745 02:20:27.402   38.657           Land
 2:19:49.388 02:20:17.071   27.684           Land
 2:19:50.189 02:19:54.766    4.577           Land
