213 47831411 47839176    7765 1
214 47839176 47839177       1 1
215 47839177 47839177       0 1
216 47839177 47853800   14623 1
217 47864595 47892131   27536 1
218 47892131 47892131       0 1
219 47892131 47892131       0 1
220 47892131 47893661    1530 1
221 47893661 47894388     727 1
222 47894388 47897992    3604 1
223 47897992 47919721   21729 1
224 47919721 47925684    5963 1
225 47925684 47925684       0 1
226 47925684 47930512    4828 1
227 47930512 47948693   18181 1
228 47948693 47948693       0 1
229 47948693 47949320     627 1
230 47949320 47960419   11099 1
231 47961939 48119473  157534 2
232 48120993 48144221   23228 1
233 48144221 48166892   22671 1
234 48191755 48255306   63551 1
235 48256826 48467744  210918 2
236 48469264 49020816  551552 4
237 49022336 49335435  313099 2
238 49336955 49338893    1938 1
239 49338893 49339959    1066 1
240 49339959 49373437   33478 1
241 49373437 49373438       1 1
242 49373438 49384425   10987 1
243 49384425 49385920    1495 1
244 49387440 49735290  347850 2
245 49736810 49819946   83136 1
246 49819946 49848617   28671 1
247 49848617 49924379   75762 1
248 49924379 50014243   89864 1
249 50015763 50196757  180994 2
250 50198277 50208238    9961 1
251 50208238 50208238       0 1
252 50208238 50232587   24349 1
253 50262596 50264727    2131 1
254 50264727 50289509   24782 1
255 50289509 50289509       0 1
256 50289509 50289509       0 1
257 50289509 50289509       0 1
258 50289509 50306819   17310 1
259 50306819 50309926    3107 1
260 50311446 50507493  196047 2
261 50509013 50517823    8810 1
262 50517823 50538553   20730 1
263 50538553 50538553       0 1
264 50538553 50574418   35865 1
265 50574418 50574975     557 1
266 50574975 50589426   14451 1
267 50589426 50589426       0 1
268 50589426 50886525  297099 1
269 50886525 50918411   31886 1
270 50986200 50990743    4543 1
271 50990743 51015443   24700 1
272 51015443 51015443       0 1
273 51015443 51015443       0 1
274 51015443 51035311   19868 1
275 51036831 51691033  654202 2
276 51810829 52104025  293196 2
277 52170397 52178099    7702 2
278 52178099 52187075    8976 2
279 52187075 52224033   36958 2
280 52224033 52237533   13500 2
281 52237533 52237533       0 2
282 52237533 52260519   22986 2
283 52260519 52262840    2321 2
284 52262840 52263392     552 2
285 52263392 52276430   13038 2
286 52277950 52370362   92412 2
287 52371882 52418293   46411 2
288 52418293 52418293       0 2
289 52418293 52426389    8096 2
290 52426389 52429708    3319 2
291 52429708 52429708       0 2
292 52429708 52429708       0 2
293 52429708 52456800   27092 2
294 52456800 52456801       1 2
295 52470313 52478964    8651 2
296 52478964 52495987   17023 2
297 52495987 52495987       0 2
298 52495987 52495987       0 2
299 52495987 52498593    2606 2
300 52498593 52539076   40483 2
301 52540908 52561901   20993 2
302 52563421 52728550  165129 2
303 52730070 52754672   24602 2
304 52754672 52754672       0 2
305 52754672 52754672       0 2
306 52754672 52766332   11660 2
307 52767852 53071989  304137 2
308 53073509 53237360  163851 2
309 53237360 53452278  214918 2
310 53452278 53642960  190682 4
311 53642960 53642960       0 2
312 53642960 53642960       0 2
313 53642960 53642960       0 2
314 53642960 53642960       0 2
315 53642960 53642960       0 2
316 53642960 53642960       0 2
317 53642960 53642960       0 2
318 53642960 53642960       0 2
319 53642960 53642960       0 2
320 53642960 53642960       0 2
321 53642960 53642960       0 2
322 53642960 53646492    3532 2
323 53646492 53646493       1 2
324 53651255 53661919   10664 2
325 53661919 53661919       0 2
326 53661919 53663288    1369 2
327 53663288 53686748   23460 2
328 53704764 53736834   32070 2
329 53765474 53773981    8507 1
330 53773981 53773981       0 1
331 53773981 53773981       0 1
332 53773981 53773981       0 1
333 53773981 53773981       0 1
334 53773981 53773981       0 1
335 53773981 53773981       0 1
336 53773981 53773981       0 1
337 53773981 53775540    1559 1
338 53775540 53777866    2326 1
339 53777866 53777866       0 1
340 53777866 53778050     184 1
341 53778050 53778340     290 1
342 53778340 53778340       0 1
343 53778340 53779542    1202 1
344 53779542 53779542       0 1
345 53779542 53779542       0 1
346 53779542 53781022    1480 1
347 53781022 53781022       0 1
348 53781022 53781470     448 1
349 53781470 53782918    1448 1
350 53782918 53782918       0 1
351 53782918 53782918       0 1
352 53782918 53782918       0 1
